 A Plate with Applied Pressure Loads                  26-FEB-15
 Plane stress
       8         9                     ! No. of Elements, No. of Nodes
     1.0       0.3 		       ! Young's Modulus, Poisson's Ratio
# Nodes:
        1   	  0.d0	 0.d0
        2   	  .5d0	 0.d0
        3   	  1.d0	 0.d0
        4   	  0.d0	 .5d0
        5   	  .5d0	 .5d0
        6   	  1.d0	 .5d0
        7   	  0.d0	 1.d0
        8   	  .5d0	 1.d0
        9   	  1.d0	 1.d0
# Element Connectivity:
        1         1	 2	5
        2         1	 5	4
        3         2	 3	6
        4         2	 6	5
        5         4	 5	8
        6         4	 8	7
        7         5	 6	9
        8         5	 9	8
# Boundary Conditions:
        1         1         0.d0		1         0.d0
        2         2         0.d0		2         0.d0
        3         2         0.25d0		2         0.d0
        4         1         0.d0		2         0.d0
        5         2         0.d0		2         0.d0
        6         2         0.5d0		2         0.d0
        7         1         0.d0		2         0.d0
        8         2         0.d0		2         0.d0
        9         2         0.25d0		2         0.d0
# End of file
